timestamp,temperature,deskTime
2020-12-14 14:02:49.994212,21.10,27
2020-12-14 14:03:34.990227,21.10,23
2020-12-14 14:04:10.973888,21.00,23
2020-12-14 14:04:47.931903,21.10,23
2020-12-14 14:05:24.858672,21.10,31
2020-12-14 14:06:08.949816,21.00,29
2020-12-14 14:06:45.042547,21.00,49
2020-12-14 14:07:22.133794,21.10,19
2020-12-14 14:07:59.083747,21.10,30
2020-12-14 14:08:36.486596,21.10,2
2020-12-14 14:09:20.467933,21.00,8
2020-12-14 14:09:56.609979,21.00,28
2020-12-14 14:10:31.602383,21.00,30
2020-12-14 14:11:08.537776,21.00,29
2020-12-14 14:11:43.552049,21.00,30
2020-12-14 14:12:19.686319,21.00,30
2020-12-14 14:12:55.792040,21.10,30
2020-12-14 14:13:32.794670,21.10,30
2020-12-14 14:14:07.800029,21.10,29
2020-12-14 14:14:43.871872,21.10,25
